"User_id","Embeddings"
589,"[1.6765972  0.         0.         0.         2.5060482  1.8085256
 0.         1.2534376  1.9052607  2.2743795  0.78893554 0.
 0.         0.         0.         0.         1.919248   1.6711934
 1.6698805  1.4589686  2.2958272  1.7663634  1.491252   1.3066028
 2.7867436  1.3953965  0.8903862  0.         1.7000192  1.6715631
 0.5063855  2.4252992 ]"
678,"[1.708754   0.         0.         0.         1.8742739  2.0763113
 0.         1.8607974  1.5667381  1.9731799  2.4020941  0.
 0.         0.         0.         0.         1.5912725  1.1059442
 2.3822289  2.7258062  2.7517889  1.6544923  1.9356633  2.8541942
 2.258645   2.079142   2.3428466  0.         1.3193012  0.8038683
 0.37957788 1.9533468 ]"
707,"[1.9729444  0.         0.         0.         0.985135   0.
 0.         1.3625772  2.878346   2.5223224  0.89159644 0.
 0.         0.         0.         0.         2.0824327  1.9938817
 0.61206126 1.9013457  1.4244915  1.5564958  2.040134   2.0231795
 0.01743311 2.292046   1.127503   0.         2.3443787  2.3439145
 2.1403825  1.1145597 ]"
709,"[1.7843498  0.         0.         0.         2.0524912  1.6076157
 0.         1.0850267  1.7562709  1.6701318  1.1505859  0.
 0.         0.         0.         0.         1.6601287  3.0691726
 1.4187139  0.         2.1396027  1.5418671  2.8466418  0.54808146
 0.70053166 0.         1.0463887  0.         1.7163037  1.8659635
 1.1653531  0.5171626 ]"
737,"[2.5490844 0.        0.        0.        1.1254405 2.3969076 0.
 0.        1.6931627 2.1693237 2.9420626 0.        0.        0.
 0.        0.        2.7749922 1.7441155 1.9068581 2.1541376 2.8546934
 1.3305221 3.8308353 1.4900541 1.641256  1.4245117 1.6126572 0.
 1.805837  2.613271  1.8254791 2.0083191]"
777,"[1.8908677  0.         0.         0.         2.5022814  1.8994881
 0.         1.4652808  1.9990591  1.2266899  1.2566383  0.
 0.         0.         0.         0.         1.8894864  2.0629082
 1.6432643  0.81115085 1.561703   1.8661171  0.9354551  0.4020264
 1.2106586  1.1250327  2.559469   0.         1.6102372  1.5420691
 1.8154318  1.0372478 ]"
799,"[1.2488064  0.         0.         0.         0.45556867 2.725567
 0.         0.81096226 1.4173534  2.447095   1.3558459  0.
 0.         0.         0.         0.         2.275451   2.5081985
 2.2864459  2.4913478  1.4438442  1.8133287  3.0497406  0.
 1.694788   1.3211093  1.0564244  0.         1.3163189  2.28008
 1.8923383  1.7780249 ]"
809,"[1.4306827  0.         0.         0.         2.1323483  0.63106614
 0.         0.93257385 1.5662159  0.89124125 1.3584106  0.
 0.         0.         0.         0.         1.2728417  2.1905723
 0.         1.9576136  1.3824681  0.9949984  1.8105114  1.7318362
 1.522012   2.722605   1.0462526  0.         0.641225   1.4359788
 1.1545497  2.8080025 ]"
888,"[1.8709717  0.         0.         0.         1.8722103  1.4528385
 0.         1.861456   1.6549003  1.7163749  1.0975513  0.
 0.         0.         0.         0.         1.5008162  1.2504519
 2.1673014  0.81074846 0.97794294 2.8006227  1.8006516  1.8769205
 0.         1.9235768  1.8078202  0.         1.0524875  1.4371849
 0.14528087 2.304162  ]"
920,"[1.2491695  0.         0.         0.         2.0118191  2.4821672
 0.         1.2760699  1.4898828  3.0361786  1.2282376  0.
 0.         0.         0.         0.         1.4547904  1.73364
 2.908384   0.         1.0633744  2.9559553  1.5241001  1.8406299
 1.3523806  1.026352   2.3751545  0.         1.6176813  2.1473732
 1.0300379  0.98634696]"
